timestamp_x,gFx,gFy,gFz,timestamp2,timestamp_y,distance,speed,heart_rate,cadence,fractional_cadence
0 days 00:01:51.800000,1.6009999999999998,-1.2533,0.3181,0 days 00:01:51,0 days 00:01:51,48.23,3.732,121.0,85.0,0.5
0 days 00:01:51.900000,1.4243000000000001,-1.2503,0.5548,0 days 00:01:51,0 days 00:01:51,48.23,3.732,121.0,85.0,0.5
0 days 00:01:52,1.5843,-1.1551,0.4182,0 days 00:01:52,0 days 00:01:52,51.97,3.751,122.0,84.0,0.5
0 days 00:01:52.100000,-0.9281,-1.7693,0.2949,0 days 00:01:52,0 days 00:01:52,51.97,3.751,122.0,84.0,0.5
0 days 00:01:52.200000,-0.9461,-1.2865,0.7556999999999999,0 days 00:01:52,0 days 00:01:52,51.97,3.751,122.0,84.0,0.5
0 days 00:01:52.300000,0.1491,-0.8644000000000001,0.2419,0 days 00:01:52,0 days 00:01:52,51.97,3.751,122.0,84.0,0.5
0 days 00:01:52.400000,0.7504,-0.4147,-0.011099999999999999,0 days 00:01:52,0 days 00:01:52,51.97,3.751,122.0,84.0,0.5
0 days 00:01:52.500000,1.6070999999999998,-1.0675000000000001,0.2771,0 days 00:01:52,0 days 00:01:52,51.97,3.751,122.0,84.0,0.5
0 days 00:01:52.600000,1.3805,-1.1466,0.5852999999999999,0 days 00:01:52,0 days 00:01:52,51.97,3.751,122.0,84.0,0.5
0 days 00:01:52.700000,1.8346,-1.0771000000000002,0.3497,0 days 00:01:52,0 days 00:01:52,51.97,3.751,122.0,84.0,0.5
0 days 00:01:52.800000,-0.606,-2.0141,0.35350000000000004,0 days 00:01:52,0 days 00:01:52,51.97,3.751,122.0,84.0,0.5
0 days 00:01:52.900000,-0.7559,-1.0703,0.6702,0 days 00:01:52,0 days 00:01:52,51.97,3.751,122.0,84.0,0.5
0 days 00:01:53,-0.1808,-1.1309,0.344,0 days 00:01:53,0 days 00:01:53,55.48,3.508,124.0,84.0,0.5
0 days 00:01:53.100000,0.8966000000000001,-0.426,0.0322,0 days 00:01:53,0 days 00:01:53,55.48,3.508,124.0,84.0,0.5
0 days 00:01:53.200000,1.2904,-1.052,0.3371,0 days 00:01:53,0 days 00:01:53,55.48,3.508,124.0,84.0,0.5
0 days 00:01:53.300000,1.5596666666666668,-0.3893333333333333,0.030333333333333348,0 days 00:01:53,0 days 00:01:53,55.48,3.508,124.0,84.0,0.5
0 days 00:01:53.400000,1.6161818181818182,-1.8370909090909089,0.4598181818181818,0 days 00:01:53,0 days 00:01:53,55.48,3.508,124.0,84.0,0.5
0 days 00:01:53.500000,-0.00777777777777776,-2.2827777777777776,0.4381111111111111,0 days 00:01:53,0 days 00:01:53,55.48,3.508,124.0,84.0,0.5
0 days 00:01:53.600000,-1.0547,-0.7631,0.4654,0 days 00:01:53,0 days 00:01:53,55.48,3.508,124.0,84.0,0.5
0 days 00:01:53.700000,-0.4715,-1.5046,0.3415,0 days 00:01:53,0 days 00:01:53,55.48,3.508,124.0,84.0,0.5
0 days 00:01:53.800000,0.8089999999999999,-0.3665,0.0767,0 days 00:01:53,0 days 00:01:53,55.48,3.508,124.0,84.0,0.5
0 days 00:01:53.900000,1.0511,-0.9342,0.2865,0 days 00:01:53,0 days 00:01:53,55.48,3.508,124.0,84.0,0.5
0 days 00:01:54,1.9872,-0.5622,0.014600000000000002,0 days 00:01:54,0 days 00:01:54,58.48,2.995,128.0,84.0,0.5
0 days 00:01:54.100000,1.5624,-1.8256000000000001,0.4617,0 days 00:01:54,0 days 00:01:54,58.48,2.995,128.0,84.0,0.5
0 days 00:01:54.200000,0.2924,-2.3059000000000003,0.4939,0 days 00:01:54,0 days 00:01:54,58.48,2.995,128.0,84.0,0.5
0 days 00:01:54.300000,-1.1595,-0.7189,0.3204,0 days 00:01:54,0 days 00:01:54,58.48,2.995,128.0,84.0,0.5
0 days 00:01:54.400000,-0.4043,-1.5727,0.4526,0 days 00:01:54,0 days 00:01:54,58.48,2.995,128.0,84.0,0.5
0 days 00:01:54.500000,0.7918999999999999,-0.3922,0.0776,0 days 00:01:54,0 days 00:01:54,58.48,2.995,128.0,84.0,0.5
0 days 00:01:54.600000,0.8834,-0.9864,0.195,0 days 00:01:54,0 days 00:01:54,58.48,2.995,128.0,84.0,0.5
0 days 00:01:54.700000,2.0564,-0.5660000000000001,-0.0905,0 days 00:01:54,0 days 00:01:54,58.48,2.995,128.0,84.0,0.5
0 days 00:01:54.800000,1.5194999999999999,-0.6009,1.0295,0 days 00:01:54,0 days 00:01:54,58.48,2.995,128.0,84.0,0.5
0 days 00:01:54.900000,0.6379,-2.4772,0.5347000000000001,0 days 00:01:54,0 days 00:01:54,58.48,2.995,128.0,84.0,0.5
0 days 00:01:55,-1.1468,-0.7971,0.3657,0 days 00:01:55,0 days 00:01:55,61.37,2.883,131.0,84.0,0.5
0 days 00:01:55.100000,-0.6905,-1.3839000000000001,0.4662,0 days 00:01:55,0 days 00:01:55,61.37,2.883,131.0,84.0,0.5
